,FBCLOSE,FBVOLUME,AAPLCLOSE,AAPLVOLUME,AMZNCLOSE,AMZNVOLUME,GOOGLCLOSE,GOOGLVOLUME,NFLXCLOSE,NFLXVOLUME,SP500
6/24/2020,234.02,20834904,360.06,48155849,2734.4,4526605,1432.7,1579579,457.85,4826191,3050.33
6/23/2020,242.24,24017915,366.53,53038869,2764.41,4231707,1463.98,1887583,466.26,5948436,3131.29
6/22/2020,239.22,18917782,358.87,33861316,2713.82,3208780,1450.66,1472072,468.04,6272105,3117.86
6/19/2020,238.79,30081291,349.72,66118952,2675.01,5776963,1424.64,2639167,453.72,5933651,3097.74
6/18/2020,235.94,15782452,351.73,24205096,2653.98,2487774,1434.12,1743071,449.87,4277627,3115.34
6/17/2020,235.53,19578125,351.59,28601626,2640.98,2959316,1452.54,1530500,447.77,6529568,3113.49
6/16/2020,235.65,15236691,352.08,41357182,2615.27,3595649,1446.47,1534826,436.13,5514016,3124.74
6/15/2020,232.5,15340264,342.99,34702230,2572.68,3873335,1420.74,1527652,425.5,4471499,3066.59
6/12/2020,228.58,22091387,338.8,50036513,2545.02,5436127,1412.92,1833756,418.07,6461127,3041.31
6/11/2020,224.43,26708163,335.9,50415613,2557.96,5800107,1401.9,2357243,425.56,7462868,3002.1
6/10/2020,236.73,20720709,352.84,41662938,2647.45,4946031,1464.7,1588116,434.48,4896893,3190.14
6/9/2020,238.67,27462872,343.99,36928091,2600.86,5175950,1452.08,1681155,434.05,6796999,3207.18
6/8/2020,231.4,15466499,333.46,23913634,2524.06,3970654,1448.04,1693881,419.49,5851453,3232.39
6/5/2020,230.77,16750438,331.5,34312550,2483,3306445,1440.02,2132350,419.6,5099561,3193.93
6/4/2020,226.29,17041481,322.32,21890091,2460.6,2948710,1414.3,1349105,414.33,5410529,3112.35
6/3/2020,230.16,15380282,325.12,26122804,2478.4,2671024,1439.25,1386640,421.97,4316044,3122.87
6/2/2020,232.72,20919018,323.34,21910704,2472.41,2529903,1442.31,1172069,427.31,3494801,3080.82
6/1/2020,231.91,18223839,321.85,20254653,2471.04,2938032,1434.87,1259254,425.92,3748573,3055.73
5/29/2020,225.09,23322476,317.94,38399532,2442.37,3529329,1433.52,1852522,419.73,5270484,3044.31
5/28/2020,225.46,29423013,318.25,33449103,2401.1,3193136,1418.24,1759787,413.44,5660160,3029.73
5/27/2020,229.14,34697553,318.11,28236274,2410.39,5056945,1420.28,1584185,419.89,10446339,3036.13
5/26/2020,232.2,33178318,316.73,31380454,2421.86,3568153,1421.37,2229488,414.77,7881115,2991.77
5/22/2020,234.91,33925564,318.89,20450754,2436.88,2867079,1413.24,1427206,429.32,5422334,2955.45
5/21/2020,231.39,47577915,316.85,25672211,2446.74,5114403,1406.75,1537428,436.25,9076150,2948.51
5/20/2020,229.97,50162875,319.23,27876215,2497.94,3998143,1409.16,1913133,447.67,5607257,2971.61
5/19/2020,216.88,31843152,313.14,25432385,2449.33,4320498,1374.4,1579250,451.04,4810487,2922.94
5/18/2020,213.19,20167443,314.96,33843125,2426.26,4366572,1385.18,2356449,452.58,7780309,2953.91
5/15/2020,210.88,19383154,307.71,41587094,2409.78,4234951,1373.06,2077199,454.19,7243998,2863.7
5/14/2020,206.81,17178947,309.54,39732269,2388.85,3648128,1356.86,1833017,441.95,9007467,2852.5
5/13/2020,205.1,20684559,307.65,50155639,2367.92,4782919,1348.33,2018404,438.27,7014563,2820
5/12/2020,210.1,14704647,311.41,40575263,2356.95,3074916,1375.18,1695874,431.82,4598211,2870.12
5/11/2020,213.18,12911948,315.01,36486561,2409,3259231,1403.59,1635856,440.52,5486037,2930.32
5/8/2020,212.35,12524048,310.13,33511985,2379.61,3211228,1384.34,1666487,435.55,5054308,2929.8
5/7/2020,211.26,15151976,303.74,28803764,2367.61,3396411,1369.28,1535819,436.53,5650281,2881.19
5/6/2020,208.47,21856963,300.63,35583438,2351.26,3117814,1345.43,1586629,434.26,6660737,2848.42
5/5/2020,207.07,21071223,297.56,36937795,2317.8,3242496,1349.02,1983318,424.68,6286293,2868.44
5/4/2020,205.26,19250673,293.16,33391986,2315.99,4865926,1322.9,1540347,428.15,7799058,2842.74
5/1/2020,202.27,30415581,289.07,60154175,2286.04,9772605,1317.32,2443554,415.27,8299858,2830.71
4/30/2020,204.71,46230116,293.8,45765968,2474,9534611,1346.7,2792124,419.85,7953975,2912.43
4/29/2020,194.19,45954521,287.73,34320204,2372.71,4591593,1342.18,5417888,411.89,9693137,2939.51
4/28/2020,182.91,21730986,278.58,28001187,2314.08,5269446,1232.59,4035007,403.83,10101233,2863.39
4/27/2020,187.5,29197750,283.17,29271893,2376,5645645,1270.86,2209333,421.38,6277480,2878.48
4/24/2020,190.07,28868528,282.97,31627183,2410.22,3831797,1276.6,1872004,424.99,8670362,2836.74
4/23/2020,185.13,21426604,275.03,31203582,2399.45,5066552,1271.17,1710122,426.7,13952330,2797.8
4/22/2020,182.28,33369931,276.1,29264342,2363.49,4218295,1258.41,2315792,421.42,21123773,2799.31
4/21/2020,170.8,24850528,268.37,45247893,2328.12,7476679,1212.16,2482404,433.83,23177550,2736.56
4/20/2020,178.24,16110664,276.93,32503750,2393.61,5770694,1261.15,1764608,437.49,12655818,2823.16
4/17/2020,179.24,20974750,282.8,53812478,2375,7930010,1279,2552824,422.96,12616258,2874.56
4/16/2020,176.25,23593229,286.69,39281290,2408.19,12038201,1257.43,2894757,439.17,16128666,2799.55
4/15/2020,176.97,17423003,284.43,32788641,2307.68,6866567,1257.3,2111842,426.75,13561222,2783.36
4/14/2020,178.17,21011815,287.05,48748672,2283.32,8087193,1265.23,3167862,413.55,11580983,2846.06
4/13/2020,174.79,19355355,273.25,32755731,2168.87,6716709,1210.41,1935128,396.72,11692922,2761.63
4/9/2020,175.19,23534287,267.99,40529123,2042.76,4655617,1206.57,2701423,370.72,7711296,2789.82
4/8/2020,174.28,21664198,266.07,42223821,2043,3977313,1207,2016713,371.12,6908879,2749.98
