Ticker,Name,GICS Sector,GICS Subsector,Headquarters
MATV,"Mativ Holdings, Inc.",Materials,Specialty Chemicals,"Alpharetta, Georgia"
MATW,Matthews International Corporation,Industrials,Diversified Support Services,"Pittsburgh, Pennsylvania"
MATX,"Matson, Inc.",Industrials,Marine,"Honolulu, Hawaii"
MBC,"MasterBrand, Inc.",Industrials,Building Products,"Jasper, Indiana"
MC,Moelis & Company,Financials,Investment Banking & Brokerage,"New York City, New York"
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,"Reno, Nevada"
MCS,The Marcus Corporation,Consumer Discretionary,Movies & Entertainment,"Milwaukee, Wisconsin"
MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Specialized Consumer Services,"Tucson, Arizona"
MCY,Mercury General,Financials,Property & Casualty Insurance,"Los Angeles, California"
MD,Mednax,Health Care,Health Care Services,"Sunrise, Florida"
MDC,"M.D.C. Holdings, Inc.",Consumer Discretionary,Homebuilding,"Denver, Colorado"
MDRX,Veradigm,Health Care,Health Care Technology,"Chicago, Illinois"
MED,"Medifast, Inc.",Consumer Staples,Personal Products,"Baltimore, Maryland"
MEI,"Methode Electronics, Inc.",Information Technology,Electronic Manufacturing Services,"Chicago, Illinois"
MERC,"Mercer International, Inc.",Materials,Forest Products,"Vancouver, British Columbia"
MGPI,"MGP Ingredients, Inc.",Consumer Staples,Distillers & Vintners,"Atchison, Kansas"
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio"
MLAB,Mesa Laboratories Inc,Health Care,Health Care Equipment,"Lakewood, Colorado"
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,"Zeeland, Michigan"
MLI,"Mueller Industries, Inc.",Industrials,Industrial Machinery,"Collierville, Tennessee"
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,"Calabasas, California"
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,"South Jordan, Utah"
MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail,"Rochester, New York"
MODG,Topgolf Callaway Brands,Consumer Discretionary,Leisure Products,"Carlsbad, California"
MODV,"ModivCare, Inc.",Health Care,Health Care Services,"Denver, Colorado"
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,"Elma, New York"
MOV,"Movado Group, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Paramus, New Jersey"
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,"Andover, Massachusetts"
MRTN,Marten Transport Ltd.,Industrials,Cargo Ground Transportation,"Mondovi, Wisconsin"
MSEX,Middlesex Water Company,Utilities,Water Utilities,"Iselin, New Jersey"
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,"New York City, New York"
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona"
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,"Mayfield Heights, Ohio"
MTX,Minerals Technologies,Materials,Specialty Chemicals,"New York City, New York"
