Fips,Income,Older,Urban,Trump2016,Trump2020,RepGov,Female
30109,49532,25.52083,0,86.30394,86.28762,0,0
30111,59975,14.79594,83.31,59.799,60.57193,0,0
31001,55167,16.59381,77.52,69.88309,68.82549,1,0
31003,55371,21.07728,0,84.37888,86.32431,1,0
31005,46862,18.88889,0,90.11407,91.22807,1,0
31007,53865,17.07317,0,91.02563,88.07786,1,0
31009,44467,15.45455,0,87.22045,88.32808,1,0
31011,51911,20.01898,0,80.18835,82.23807,1,0
31013,57952,14.89649,75.04,74.56416,76.96154,1,0
31015,42431,24.87562,0,85.63923,87.44588,1,0
31017,46191,24.6281,0,87.39709,87.29216,1,0
31019,59193,12.53699,67.74,70.44,70.1784,1,0
31021,57548,22.83525,0,66.98836,69.00241,1,0
31023,57208,19.13313,34.29,78.38528,78.39752,1,0
31025,75177,15.03789,27.04,66.52391,66.03811,1,0
31027,64570,19.94135,0,81.03211,83.23031,1,0
31029,54866,20.39216,0,87.57429,87,1,0
31031,49782,20.92199,47.49,85.10708,86.99908,1,0
31033,53132,15.29589,63.74,79.01073,79.83669,1,0
31035,56259,17.59554,0,79.81837,79.77591,1,0
31037,55787,12.57198,59.49,68.44263,70.74611,1,0
31039,59219,19.88795,34.8,77.60782,78.64992,1,0
31041,49995,20.23419,32.33,84.09547,84.69218,1,0
31043,55522,11.53659,78.91,55.48974,57.59131,1,0
31045,47487,19.202,60.06,71.5204,70.60949,1,0
31047,56818,14.20443,73.35,69.93873,70.98248,1,0
31049,47097,23.37662,0,82.8045,84.23598,1,0
31051,54635,17.8911,0,74.38047,75.46865,1,0
31053,51682,17.62238,74.87,65.08456,64.84827,1,0
31055,64580,11.07918,97.83,46.53147,43.08925,1,0
31057,48574,20.86514,0,86.72287,88.0359,1,0
31059,56697,21.68344,0,72.94199,74.93647,1,0
31061,48778,24.13223,0,81.2198,83.15972,1,0
31063,43650,22.13115,0,84.42748,84.99308,1,0
31065,49685,21.97917,0,82.72138,83.12836,1,0
31067,49931,19.65168,55.6,64.26832,66.95746,1,0
31069,39192,25.07042,0,81.74976,84.66667,1,0
31071,46245,26.57895,0,84.60744,86.71004,1,0
31073,59722,18.5567,0,79.2,79.66102,1,0
31075,56724,23.44828,0,93.14721,93.28358,1,0
31077,45221,22.49489,0,78.19743,80.69897,1,0
31079,53792,13.14405,85.38,66.28381,66.21268,1,0
31081,60608,16.86209,48.95,76.76459,77.41646,1,0
31083,49321,23.38235,0,82.30088,83.50569,1,0
31085,47047,23.5023,0,92.35294,92.16418,1,0
31087,43880,22.8471,0,84.44444,85.9864,1,0
31089,55965,19.784,35.29,85.86062,85.92793,1,0
31091,46220,34.95935,0,85.74879,85.06787,1,0
31093,52292,19.8419,0,77.21434,79.35062,1,0
31095,47075,21.3944,51.84,69.59184,70.13405,1,0
31097,52401,20.42341,0,65.72404,67.98029,1,0
31099,64456,17.71075,45.45,77.69895,78.02046,1,0
31101,52086,23.01489,52.87,81.19138,81.11696,1,0
31103,48429,26.05634,0,89.10506,89.81132,1,0
31105,46986,24.14734,0,80.50122,83.27118,1,0
31107,47906,21.86186,0,78.33046,79.03568,1,0
31109,58618,11.93734,91.75,46.5752,44.58353,1,0
31111,56803,16.25819,69.48,76.50887,76.15802,1,0
31113,55531,21.17647,0,88.6918,90.44444,1,0
31115,47797,24.54545,0,84.55498,81.4978,1,0
31119,55226,14.48722,72.1,75.36543,75.47885,1,0
31121,56493,19.10112,41.11,78.60803,79.84586,1,0
31123,49151,17.19745,0,82.54848,82.6036,1,0
31125,47279,18.10345,0,78.61163,78.43887,1,0
31127,52069,18.31832,47.93,68.13838,70.74592,1,0
31129,46954,25.29002,0,79.37762,80.564,1,0
31131,60734,18.18766,44.89,66.39648,67.61221,1,0
31133,45487,25.27881,0,73.8204,74.94752,1,0
31135,57251,20.10399,0,84.76727,85.50162,1,0
31137,59003,18.23759,58.12,83.14168,82.79227,1,0
31139,57367,17.23404,0,85.2514,86.29113,1,0
31141,63656,15.10724,68.57,77.34035,77.51415,1,0
31143,59815,18.70155,0,79.55083,79.35574,1,0
31145,49034,18.72038,68.41,83.22466,82.72395,1,0
31147,47573,22.06339,49.42,73.21331,74.33479,1,0
31149,48260,22.76119,0,86.63304,88.36105,1,0
31151,54569,14.32331,48.93,59.41605,62.82007,1,0
31153,79358,9.502693,94.73,57.40348,54.03616,1,0
31155,67897,16.24636,33.51,70.63597,71.23416,1,0
31157,50247,16.7319,70.18,71.62289,70.54883,1,0
31159,71024,16.58131,39.62,70.2992,70.55115,1,0
31161,43819,23.47826,0,85.45808,85.39493,1,0
31163,47499,24.13793,0,73.59949,77.76471,1,0
31165,50861,24.4,0,84.90833,87.8249,1,0
31167,66228,14.7568,26.51,79.07569,80.91628,1,0
31169,51299,23.9801,0,76.27248,77.21646,1,0
31171,48275,18.51852,0,88.88889,88.2904,1,0
31173,45405,11.69208,0,49.92607,49.60067,1,0
31175,48604,23.62769,0,81.49171,81.10069,1,0
31177,77838,15.00754,38.77,69.6712,68.84576,1,0
31179,55970,15.19608,57.92,71.52406,72.42769,1,0
31181,45058,22.00557,0,78.24541,80.54371,1,0
31183,53369,20.71006,0,82.13508,87.07754,1,0
31185,61478,18.59568,55.86,74.90409,74.52869,1,0
32001,58429,17.07317,65.29,71.5801,72.70753,0,0
32003,57155,12.75344,98.69,41.75101,44.31111,0,0
32005,70495,23.4004,68.45,62.45201,63.38462,0,0
32007,79134,8.831937,62.15,73.02238,76.20977,0,0
32009,50179,26.43172,0,77.77778,82.13552,0,0
32013,72873,9.887174,62.12,70.27825,75.62733,0,0
32015,79278,13.32767,60.95,75.75632,79.49368,0,0
32017,55504,20.16632,0,78.37711,84.50531,0,0
32019,59732,18.85342,63.06,67.35544,69.16463,0,0
32021,44438,22.59508,68.08,59.03856,60.94218,0,0
32023,47031,26.71484,64.73,67.98694,69.0677,0,0
32027,42522,18.88772,0,70.78709,74.61207,0,0
32029,68236,26.67526,7.36,63.17435,66.31908,0,0
32031,63636,13.959,95.73,45.16824,46.30724,0,0
32033,58942,16.48352,46.67,72.17068,77.88967,0,0
32510,56382,18.15584,95.16,52.46642,54.18138,0,0
33001,64777,18.15889,33.72,56.04724,54.34946,1,0
33003,59413,22.89028,9.8,50.35612,48.53931,1,0
33005,60251,16.92812,34.98,41.08082,40.47414,1,0
33007,44259,21.07356,33.76,52.12061,52.13577,1,0
33009,65163,18.11238,31.28,37.97064,36.86862,1,0
33011,78714,12.94538,78.81,47.4846,45.28437,1,0
33013,74351,15.10679,45.39,45.95399,44.1788,1,0
33015,93645,14.29125,75.1,50.52764,48.18365,1,0
33017,69919,13.70133,67.6,42.80456,41.35279,1,0
33019,60034,17.7011,35.84,48.84847,47.19682,1,0
34001,60826,15.18893,87.29,45.28362,45.88261,0,0
34003,100181,15.49461,99.9,42.50908,41.09215,0,0
34005,84470,14.96613,93.34,40.79174,39.34704,0,0
34007,67135,13.5543,98.38,32.21782,32.45758,0,0
34009,62175,23.25594,82.55,58.37106,57.23508,0,0
34011,51790,13.66035,76.97,45.6694,46.26768,0,0
34013,62875,11.95632,99.99,20.69958,21.85711,0,0
34015,81315,13.53093,91.65,48.37775,48.0476,0,0
34017,73337,10.39055,100,22.64614,26.23115,0,0
34019,112335,15.21998,50.43,54.63858,50.96429,0,0
34021,79979,13.60278,96.52,30.14462,29.13899,0,0
34023,87666,13.11219,99.33,38.55442,38.1874,0,0
34025,99223,14.84772,96.27,53.07185,50.69056,0,0
34027,112396,14.65414,93.23,50.38256,46.9013,0,0
34029,68483,21.29131,97.1,65.52705,63.52809,0,0
34031,71959,12.60352,97.59,37.80453,41.01502,0,0
34033,64524,16.04026,54.7,55.63313,55.30521,0,0
34035,119731,13.19725,94.21,41.90627,38.52299,0,0
34037,92284,13.62957,60.15,62.93799,58.51367,0,0
34039,80737,12.55436,100,30.80521,31.49177,0,0
34041,77571,14.90748,62.44,60.67669,56.94515,0,0
35001,51372,13.51921,95.8,34.78606,36.56758,0,1
35003,34777,32.39645,0,71.78854,73.00086,0,1
35005,43527,14.47059,75.75,63.83749,69.75895,0,1
35006,38097,14.3503,44.66,39.86207,44.64787,0,1
35007,41592,22.64377,47.64,48.73838,54.37167,0,1
35009,47202,11.24482,85.93,66.95005,69.16098,0,1
35011,35087,20.30075,0,68.3278,72.80799,0,1
35013,38409,13.6568,80.71,36.19958,39.69216,0,1
35015,58320,13.66658,79.15,67.22327,75.16148,0,1
35017,38341,23.08503,57.65,41.56574,45.39661,0,1
35019,29515,22.63427,55.92,32.66998,41.89127,0,1
35021,37544,25.66372,0,59.01328,63.16832,0,1
35023,39882,18.45304,0,49.34641,56.73759,0,1
35025,51656,10.66586,78.97,70.85036,79.02763,0,1
35027,45095,25.44214,46.82,66.49729,67.35882,0,1
35028,124947,16.40494,88.76,31.91755,34.80029,0,1
35029,30570,20.4839,59.39,48.00552,54.3996,0,1
35031,33976,10.10308,42.62,23.53422,29.45329,0,1
35033,34491,21.85145,0,27.25401,33.61876,0,1
