Institution Name,EnrollmentFullTime,State,Ranking List,Rank,Undergraduate Admit Rate,Google Avg Monthly Search Volume,Student Life Grade,15-Year NPV,30-Year NPV,Instructional Wages per Full-Time Student,Average Undergraduate Tuition and Fees,Endowment per Full Time Student,Percentage of International Students,Category
Boston College,13165,MA,USN National University Ranking,37,0.28,165000,A+,403000,1109000,13813,55464,191087,0.08,Thrive
Boston University,28287,MA,USN National University Ranking,40,0.22,201000,A+,327000,963000,17624,53948,77042,0.24,Survive
Bowdoin College,1825,ME,USN National College Ranking,6,0.1,49500,A+,381000,1018000,17111,53922,892145,0.09,Thrive
Bowling Green State University-Main Campus,14323,OH,USN National University Ranking,246,0.72,27500,A,225000,619000,6336,15099,11331,0.02,Survive
Brandeis University,5267,MA,USN National University Ranking,40,0.31,49500,B-,294000,858000,15216,55395,198668,0.19,Challenged
Brigham Young University-Provo,30162,UT,USN National University Ranking,77,0.64,40500,A+,392000,973000,8891,5620,65460,0.02,Thrive
Brown University,9648,RI,USN National University Ranking,14,0.08,165000,A+,378000,1035000,17492,55466,373533,0.15,Survive
Bryn Mawr College,1632,PA,USN National College Ranking,27,0.34,27100,A,306000,838000,12930,52360,549777,0.22,Survive
Bucknell University,3621,PA,USN National College Ranking,35,0.33,49500,A-,369000,1059000,12873,56092,235103,0.07,Thrive
California Institute of Technology,2233,CA,USN National University Ranking,12,0.07,14800,A-,539000,1376000,51157,52362,1301837,0.08,Thrive
California State University-Fresno,21444,CA,USN National University Ranking,211,0.58,8100,B+,316000,751000,4211,12527,7068,0.02,Survive
Campbell University,5457,NC,USN National University Ranking,272,0.76,49500,B-,237000,684000,8801,32500,27385,0.02,Struggle
Carleton College,2077,MN,USN National College Ranking,7,0.2,33100,A,281000,809000,14818,54759,422963,0.12,Thrive
Carnegie Mellon University,13160,PA,USN National University Ranking,25,0.17,33100,A-,513000,1327000,21069,55465,142264,0.18,Survive
Case Western Reserve University,10662,OH,USN National University Ranking,40,0.29,60500,B+,415000,1141000,17270,49042,176961,0.13,Survive
Catholic University of America,4257,DC,USN National University Ranking,139,0.84,14800,A-,294000,847000,15206,45804,82326,0.09,Challenged
